air_temperature_2m,black_sky_albedo,black_sky_albedo_avhrr,cee,cer,cfc,cot,cph,cth,ctp,ctt,fapar_tip,gross_primary_productivity,iwp,latent_energy,leaf_area_index,lwp,max_air_temperature_2m,min_air_temperature_2m,net_ecosystem_exchange,net_radiation,par,precipitation,precipitation_era5,sensible_heat,stemp,terrestrial_ecosystem_respiration,white_sky_albedo,white_sky_albedo_avhrr,time
294.5182,0.05080003,0.15828194,0.76761407,25.24996,0.7967979,4.657318,0.3026897,8.369768,411.8182,250.7801,0.12037939,5.5072117,104.99567,10.149127,0.19271545,28.90023,301.26028,289.42838,-0.8807334,13.901203,109.64571,0.919114,0.2754227,2.6627913,296.2062,4.1448145,0.056265395,0.16383006,2001-07-24
294.9297,0.05166237,0.1696001,0.73141783,18.99457,0.8064091,4.793363,0.42603934,7.5255685,454.38422,256.81357,0.083044484,5.3810406,66.988495,10.145423,0.13486972,35.451,300.3492,290.56122,-0.85875994,13.825115,106.86857,1.9684436,0.1749306,2.7196643,297.20654,4.1307173,0.058945235,0.17761357,2001-08-01
294.9565,0.052252445,0.18295152,0.6952217,12.739196,0.8160203,4.929408,0.54938865,6.681371,496.95007,262.84702,0.07850555,5.412169,28.981438,9.412799,0.19602522,42.001755,300.06522,291.4582,-0.86005324,12.989335,96.377144,1.179785,0.19782846,2.669089,298.20688,4.258548,0.059801508,0.19355977,2001-08-09
295.87762,0.051443495,0.17541811,0.6952217,12.739196,0.8160203,4.929408,0.54938865,6.681371,496.95007,262.84702,0.07081794,5.604294,28.981438,9.619141,0.13854626,42.001755,301.19485,291.8063,-1.0431685,13.4384775,99.87428,1.0796425,0.14805919,2.6980562,298.20688,4.0727944,0.059427023,0.18689327,2001-08-17
295.06604,0.05052294,0.16700673,0.6952217,12.739196,0.8160203,4.929408,0.54938865,6.681371,496.95007,262.84702,0.067225635,5.54023,28.981438,10.080324,0.08201405,42.001755,301.06335,291.4918,-0.92018884,13.982251,103.84,2.5737865,0.14399944,2.9653215,298.20688,4.178569,0.057739504,0.17702943,2001-08-25
295.16763,0.04853251,0.15803656,0.75333387,19.225563,0.8428608,5.437539,0.42858127,7.235079,466.2323,259.003,0.08948661,5.262962,69.42871,9.687423,0.113394104,44.044926,300.45596,291.05298,-0.7704345,13.616233,110.594284,1.0038255,0.30487192,2.8799152,297.13034,4.167047,0.059636775,0.16655174,2001-09-02
294.28522,0.05127559,0.1487935,0.78820103,23.117369,0.85896504,5.7424164,0.35609713,7.567302,447.8017,256.6966,0.13154267,5.1932235,93.69698,9.328402,0.17173386,45.27082,300.1346,290.23676,-0.79869986,13.08526,101.28667,3.3907812,0.4123853,2.6592271,296.48444,4.098251,0.062629044,0.15587112,2001-09-10
294.56924,0.054998603,0.14490691,0.78820103,23.117369,0.85896504,5.7424164,0.35609713,7.567302,447.8017,256.6966,0.1666572,5.5967517,93.69698,9.945262,0.24387078,45.27082,300.94214,289.56793,-0.94696844,14.193924,109.10286,5.0998287,0.2491353,3.2245817,296.48444,4.203473,0.06582109,0.15162504,2001-09-18
294.7054,0.05664106,0.15271357,0.78820103,23.117369,0.85896504,5.7424164,0.35609713,7.567302,447.8017,256.6966,0.15706834,5.073906,93.69698,9.422404,0.20960596,45.27082,300.51318,290.7694,-0.83325046,13.291661,95.933334,1.2061925,0.3029835,2.6989682,296.48444,4.025797,0.06619268,0.16077888,2001-09-26
295.11322,0.056838255,0.16205342,0.7892353,20.593752,0.8822971,5.8964844,0.42073077,7.6784596,444.71533,256.50043,0.1261123,5.5866556,96.17809,10.112273,0.16546196,45.051514,300.2609,290.95352,-1.05646,13.983773,105.62666,5.43342,0.34901187,2.797685,295.2814,4.1630363,0.06661642,0.17010564,2001-10-04
295.0986,0.054332003,0.17853831,0.78938305,20.23324,0.8856302,5.9184937,0.42996404,7.6943393,444.2744,256.4724,0.09336801,5.2597857,96.53253,9.276977,0.23393664,45.020184,300.44797,291.06628,-0.83039737,13.014106,104.49715,0.9103771,0.13182281,2.6694307,295.10953,4.2186947,0.06514404,0.1864685,2001-10-12
294.78955,0.048734482,0.20277773,0.78938305,20.23324,0.8856302,5.9184937,0.42996404,7.6943393,444.2744,256.4724,0.10252483,5.1007886,96.53253,8.213876,0.2853121,45.020184,300.59436,290.6325,-0.77127945,11.435049,94.17714,3.5360835,0.20717487,2.286048,295.10953,4.258057,0.06133719,0.21069361,2001-10-20
295.08624,0.043557964,0.21219514,0.78938305,20.23324,0.8856302,5.9184937,0.42996404,7.6943393,444.2744,256.4724,0.08588819,5.2266326,96.53253,9.173384,0.25937486,45.020184,300.6788,291.3262,-0.84782773,12.556178,102.10286,2.8430107,0.21938966,2.4585316,295.10953,4.053545,0.058014575,0.21907897,2001-10-28
294.62573,0.046492793,0.21278521,0.7788629,17.918928,0.85273504,7.773069,0.53364414,6.649347,506.36554,262.8653,0.08697233,5.187365,169.20502,8.79065,0.27682135,62.807507,299.82385,291.14575,-0.80693233,11.805681,93.51428,6.2628613,0.29264757,2.3663194,295.40173,4.129906,0.060847577,0.22187214,2001-11-05
294.7435,0.052860487,0.19604003,0.7788629,17.918928,0.85273504,7.773069,0.53364414,6.649347,506.36554,262.8653,0.11762257,5.2107363,169.20502,8.896857,0.3914165,62.807507,299.5379,290.46408,-0.90835005,11.740252,94.65143,2.712467,0.52461773,2.2668138,295.40173,4.0540657,0.06523268,0.20250496,2001-11-13
294.8376,0.056691267,0.1837141,0.7788629,17.918928,0.85273504,7.773069,0.53364414,6.649347,506.36554,262.8653,0.1443224,5.549401,169.20502,9.63408,0.49423164,62.807507,299.67868,291.05606,-1.0011808,12.594919,103.50285,1.0238923,0.38055927,2.4180331,295.40173,4.223161,0.0674751,0.1886548,2001-11-21
294.31793,0.058033388,0.18075886,0.7824124,17.645134,0.8411513,7.8836503,0.5573865,6.450214,516.8262,264.22543,0.103918515,5.222564,176.3844,8.554641,0.29959366,63.23699,300.0127,290.41016,-0.78932226,11.233523,83.58667,9.148256,0.19253866,2.2059796,295.4997,4.1040506,0.06819202,0.18844593,2001-11-29
294.83197,0.056813527,0.1735393,0.793061,16.823753,0.8064002,8.215394,0.6286136,5.852816,548.208,268.30585,0.111784846,5.3183765,197.92249,9.42565,0.44443452,64.525444,300.31787,289.90027,-0.9597692,12.061168,92.32,9.419682,0.12647516,2.2689128,295.79355,4.00236,0.0662553,0.17772262,2001-12-07
295.09045,0.0546924,0.16139957,0.793061,16.823753,0.8064002,8.215394,0.6286136,5.852816,548.208,268.30585,0.15673973,4.6300616,197.92249,7.7228737,0.6157265,64.525444,300.4744,291.18954,-0.5416866,10.036025,83.49715,3.133881,0.15510465,1.7412483,295.79355,3.9929335,0.06335534,0.1631548,2001-12-15
295.06784,0.053449158,0.14527123,0.793061,16.823753,0.8064002,8.215394,0.6286136,5.852816,548.208,268.30585,0.18144332,4.9959235,197.92249,8.101195,0.5242357,64.525444,300.6149,291.1582,-0.6631369,10.580942,82.12,0.60560143,0.15717907,1.9720283,295.79355,4.1209903,0.062636755,0.14835672,2001-12-23
295.1972,0.052646343,0.13248226,0.793061,16.823753,0.8064002,8.215394,0.6286136,5.852816,548.208,268.30585,0.24734965,5.738938,197.92249,9.414823,0.62524796,64.525444,300.3708,291.23495,-1.0209314,12.274389,94.68,0.88763154,0.14604485,2.4321303,295.79355,4.226058,0.06281263,0.13486439,2001-12-31
